"","HB1","HB2","HB4","HB5","HB8","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"hsa_miR_432_5p",5.76032693554985,8.06554623313088,9.31374733401471,11.289540222687,5.76032693554985,9.90408762655531,9.76118648247153,8.86646063380148,5.76032693554985,9.15117705267351,5.76032693554985,8.23466151998829,5.76032693554985,5.76032693554985,8.0132823154952,9.59728742686793,8.94914616651535,5.76032693554985,10.226754479784,9.72780846998868,5.76032693554985,5.76032693554985,5.76032693554985,9.06759155559086,5.76032693554985,5.76032693554985,5.76032693554985,8.59956646851536,7.87833717334756,5.76032693554985,5.76032693554985,5.76032693554985,5.76032693554985,8.58974489629064,7.70789850579614,5.76032693554985,8.12800153842598,11.9227200844153,10.9981689357213,9.24779336919101,8.93901367418295
"hsa_miR_451a",11.4246763325018,11.7003155552028,11.413915277311,11.3248392645034,11.9251746243473,11.0169214580742,10.1216744638139,11.807934223194,11.9381957704035,12.2383783421627,13.1456822644282,12.7348100220795,11.8202339480022,12.2330520284137,12.2177022673249,11.689687603901,11.9378373724507,12.2866665648353,11.1775676144126,10.8841223599055,11.7700396112234,11.6366018475089,11.1983524262009,11.7843365924355,11.5753545990602,12.0287595760553,12.0154493783889,11.3255688725187,11.8281090241977,12.5431087420373,11.2336531277583,11.8684513724412,11.1729747049059,11.5228635827044,12.617122896363,11.4767121567291,13.9304063775924,10.7939127667619,11.4394460659208,12.4109953814791,12.1203971220185
"hsa_miR_454_3p",7.68956759848013,6.98430349669538,7.75084523745034,6.83236685418303,7.98959409242397,4.32866157634419,7.57114752768545,7.92229912543872,7.5175937170266,7.67775831903974,7.77367444839368,8.34861331463352,4.3286615763442,7.80260548899255,7.45933185212821,7.93853131511638,7.96353446835728,4.3286615763442,7.5927470958262,4.3286615763442,7.56869669569651,4.32866157634419,4.3286615763442,7.47354186793127,4.32866157634419,7.87096380674302,9.22947197716778,7.1040723231316,8.01220794208505,7.7207118093212,7.54224295042241,7.48260451230249,7.38942487848742,7.97404426256173,7.65744973302344,4.3286615763442,8.13648195244627,6.89254200245322,4.3286615763442,6.6604441315316,7.87069364679459
"hsa_miR_483_5p",9.10809413667822,6.91472172254427,4.67182413036902,9.37814200960308,4.67182413036902,4.67182413036902,8.48060894400857,6.2658247918822,4.67182413036902,7.97100246498753,8.19329866810445,7.32057714485135,4.67182413036902,8.80844920433027,4.67182413036902,7.59717178691643,4.67182413036902,8.34788691273132,9.01750160890654,4.67182413036902,4.67182413036902,4.67182413036902,8.92292985199328,7.88967670550592,9.08496884982887,9.24428521722444,4.67182413036902,8.73460382114252,4.67182413036902,7.38446203728587,8.97810238294923,8.37660192673684,4.67182413036902,4.67182413036902,6.72902692040258,4.67182413036902,6.1744896411539,9.91132968890236,8.71644061302309,7.72950423621394,7.49195522651465
"hsa_miR_484",8.66728926372253,9.42786081557847,8.73966628936065,5.45740192227564,9.46473827473678,5.45740192227564,5.45740192227565,9.11670268055614,5.45740192227564,9.29564989003659,9.4381634212385,9.12054146209608,9.54969989903284,9.22607165357108,8.64187729574297,8.8318210391317,9.58728972390014,9.27000192679241,8.71837350850125,5.45740192227565,8.86952126324901,5.45740192227564,5.45740192227565,5.45740192227564,5.45740192227564,5.45740192227564,5.45740192227564,5.45740192227564,8.91636502684141,9.12029308245961,8.58246089815066,10.0488734456775,8.66659338469986,8.7851283671678,9.85615230437286,5.45740192227565,10.1273505787744,9.38816868270196,5.45740192227565,9.75486056220662,9.41201555287997
"hsa_miR_486_3p",11.3763099433754,11.2264327242327,11.2733838558702,10.8047481017362,10.515390937013,10.5965957314199,10.5416632741643,11.2706191345414,9.41488791582776,10.5783837316234,9.85147353017977,10.6964801689525,10.7592315602054,10.8574812237191,10.9996003710392,10.7637910150516,11.0864836976683,11.042862940037,10.9667808511426,11.0349940238205,10.9558372470324,10.047093790804,10.4650959811239,10.3923064353825,9.60862033876669,11.2813652814176,11.4230937084675,11.3170991291011,11.5504385416846,11.0238576239345,10.5638108848487,10.7355065393666,11.1519528245395,12.0739267643858,13.0620464701732,10.6107988985725,9.70562471394823,10.4780401768766,11.2695776715671,10.9970258982799,10.9245042848786
"hsa_miR_486_5p",15.020782712587,15.0363756084543,15.3615737105103,14.8492583661028,15.4816352124687,14.7791103729011,14.3141081174398,14.9418034191174,15.2732632971075,15.2427818981921,15.2033118135254,15.52362684385,15.5596041376194,15.4000181498144,14.8366147595623,15.1028873223566,15.3095557837565,15.5327773846608,14.8117653255059,15.0761429076158,15.6369700589271,14.7421985195595,15.2668978837297,15.2151619723904,15.2172205191507,15.4937380232333,15.4677858460775,14.9642940200337,15.4243837191922,15.4265767334784,14.9081460707503,15.2272588894646,15.2280932109949,16.02691645698,16.7030783497865,15.0322796591304,14.9434215765368,14.0879288093644,14.9864442472976,15.2218638575968,14.9450818780533
"hsa_miR_532_5p",7.90745351303566,8.10431453889554,4.97849805532895,4.97849805532894,4.97849805532895,4.97849805532894,4.97849805532895,7.50898719561238,4.97849805532894,8.22423148017025,4.97849805532894,8.1666137352623,4.97849805532895,8.06323667205424,8.56508743456727,8.17560600646842,8.39989974845893,4.97849805532895,4.97849805532895,9.41473727327014,8.51073412012815,4.97849805532894,4.97849805532895,8.14422315413335,4.97849805532894,4.97849805532894,4.97849805532894,7.6962279268852,7.97277026662049,8.32525585438611,8.10384545384701,4.97849805532894,8.41487817580498,8.63667072051578,8.76873299036078,4.97849805532895,8.3706354537048,4.97849805532894,4.97849805532895,4.97849805532894,7.48046125683229
"hsa_miR_629_5p",6.64414840984583,7.96053673822769,8.12913457447303,8.48267723670837,4.72356948331222,8.4607513437117,8.47530170317873,7.23608873263654,9.02040422711234,7.75909629484122,4.72356948331222,7.47085170234962,8.82132146987864,4.72356948331222,9.35147147339294,7.72012293098643,7.34640152595768,4.72356948331222,8.50029357575581,4.72356948331222,4.72356948331222,4.72356948331222,8.91099699267478,8.00082937495779,4.72356948331222,4.72356948331222,4.72356948331222,4.72356948331222,6.8875470379912,8.0744784064389,8.2722573145736,4.72356948331222,8.44678026520142,7.85463290446712,9.220192269226,4.72356948331222,8.92151528172646,8.60906960802486,4.72356948331222,8.83194437324833,8.93031823355582
"hsa_miR_7_5p",7.87040508944585,8.78076505087013,8.61621658420365,9.10100184717993,9.49432507776399,4.99250670627126,8.76961189853896,8.10756466791291,4.99250670627126,7.70794146543646,8.91207549492207,9.55031813837095,9.62422784159408,8.65756146669411,8.72693541256189,9.59942901393983,9.54625602739624,9.18639834391127,9.81694236975159,9.49439907626054,9.56058520210551,4.99250670627126,4.99250670627126,8.82346074042669,4.99250670627126,9.33460908700048,10.3735620979521,9.01967786527597,9.28360634882691,8.86773052534372,9.36551798778392,9.51502095712855,4.99250670627126,9.16204748713284,10.325328613115,9.2119451529263,9.33186275166314,8.94415387299455,4.99250670627126,8.9936595826511,9.17830632562131
