"","HB1","HB4","HB9","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79","SB1","SB3","SB4","SB7","SB8","SB11","SB12","SB16","SB20","SB22","SB24","SB28","SB31","SB32","SB35","SB36","SB38","SB39","SB42","SB45","SB48","SB49","SB52"
"hsa_miR_30d_5p",12.2127570175095,12.1978450517238,12.4987738197207,12.3950604682985,11.7606137223393,12.1122785463715,12.1471202118661,12.7538652623913,12.4646448622172,12.3633588660559,12.8500522583365,12.2779040508686,13.4232804350816,13.3509241537309,12.9504606247359,13.0945695070697,12.7818423353616,12.647298674328,12.2140668735633,12.3768704020464,12.9025718436474,12.4617375414181,12.7088070583774,12.7949213123056,12.6681437809325,13.2644955649316,11.9245834713998,12.2169573663831,13.0015873258399,13.0165348420422,12.9359191848354,12.738946238886,12.8693021334079,13.0830228770925,12.5975788577159,12.7820760413954,12.6400372702688,12.7533004787708,13.0537909497326,12.6065770423273,13.1741564866959,13.3121811765439,11.9885096998837,12.8722887908364,12.0776089689457,12.8002624499181,12.1207664171018,12.0007082194875,11.8861662118628,12.8580766607717,12.3054312192494,12.874772710769,11.6275879303986
"hsa_miR_30e_5p",10.2286266179247,11.0535179974668,11.1443026302208,11.1723035878793,11.0326361628525,10.6143993821511,10.3138879255484,10.2479003064488,11.2985832159618,11.1778831080867,11.079088735687,11.0398687422205,10.8336656384802,11.0009841867979,11.0575265709261,10.7775461219889,10.577383148167,10.7960006942739,10.3744129287192,10.729489379909,10.4628710898765,10.5935807087424,10.64255735687,10.6899982481991,9.79313519172582,11.238483678725,9.59505194485004,10.3620000579316,11.3677754619491,11.0790621600949,11.2972954459444,10.1929302450817,10.8148626483223,10.4405862920956,10.4961348269332,11.5353667347595,11.0741428099089,10.2758409212714,10.9261066975261,10.8676956672166,11.210299501621,11.3262992359758,9.93282030450544,11.0169967173226,10.7445230298159,11.0063563419774,10.6250751549354,10.7206948539771,10.8888454816355,10.9885971146234,10.3215040476178,10.8736838612375,9.8462845090597
"hsa_miR_320a",11.4931238709012,11.8287221403931,11.6472854455162,12.2563025639211,11.7493328148888,12.1401732836775,12.0899536149025,12.0770961244658,12.4386273613641,11.9286867445021,12.7928887896875,12.7019262454836,12.6301996690829,12.2894935199488,13.6334336880645,13.3677467863022,12.5303981817255,11.7689443185342,12.9622162481368,12.7822677850762,13.2606581911059,11.9941285637851,12.5172165798853,11.9439083378521,12.0071877751012,12.5694044167939,11.4047450670283,12.7444424311276,12.6477848309192,12.3688109201468,12.6269973402111,12.6669698969219,12.0822293516142,12.6083673209589,12.5970555946273,12.8187088973302,12.3466291571738,13.4924890040712,12.006999833006,12.464231268017,13.1092073200401,11.9061118659813,11.8893682143177,12.2721835593896,12.027496482257,12.2554588506547,12.1967824248674,12.0233198625593,11.3253433082733,12.4419408040889,12.3535308344375,12.885403199375,12.4810625330374
"hsa_miR_320b",9.19364702652112,10.0928668400979,9.01318678339819,6.74407869657591,6.74407869657591,9.211709539135,9.67632865244077,6.74407869657591,9.74093558453872,9.5187649943631,9.50592863736164,10.8162632304607,9.71538420117778,9.63722230656559,10.5072754541763,10.4416219915733,10.3828325382512,8.90722106688986,10.4637834627657,10.22061486237,10.9342567694637,9.64300721026521,10.5644300557857,9.93394842278939,9.67997781266105,9.4661572722598,8.4190456376372,9.76380741138345,11.2062679913552,6.74407869657591,8.64247798633383,10.5095397536498,9.96688912532363,9.99302796357014,9.93479876342199,8.80165590956498,9.53150389986744,9.18109318157243,8.3220475415709,7.82561003361661,9.41576021011365,8.47277451427733,10.1662895551006,9.10327443118249,12.9885347029596,8.77498763800834,9.05017512882281,10.3635355303125,8.28369681133408,9.71542454387971,10.3487809393965,8.38289495302126,10.6538720273436
"hsa_miR_320c",8.5107698032939,9.67709663038424,8.53301396212711,10.3158798924995,9.3371463867093,8.21323903000455,8.29262807109646,5.55881258520975,8.67359214168112,8.07811072431757,9.15403853343383,9.97417386596398,9.542811168903,8.90074758955401,10.8899723542792,9.58267330472031,9.05846147704453,8.13910003045007,9.73814641337663,9.8534398984692,11.2058934444609,8.97414740898746,9.63944128389367,9.66608396831514,9.28698609004294,9.14547102317106,8.27590726470006,8.11259382671783,9.92271108111736,5.55881258520975,9.15542175468786,10.1127609977675,9.41297020334996,10.1694866820152,8.79479497113705,9.36380351926228,9.08558180011212,8.82322643763507,8.54002353803137,7.99209732863918,9.30171998925214,8.56345438953034,9.85851458360145,9.19448436965415,10.8757409212544,9.02741852362624,9.76856993433852,4.58755854458906,7.78479894470678,8.85721588478208,9.28661659410417,8.36751038860968,10.3445731208147
"hsa_miR_328_3p",6.68815780847096,4.63141303004092,6.96832164326084,4.63141303004092,4.63141303004092,6.65701850920094,7.41203640638609,7.45760929621751,7.0177254727644,6.81006132364373,7.67553768936944,4.63141303004092,7.45371858149353,7.86227446125604,7.89595281766649,4.63141303004092,7.55640944286931,6.53990602287376,4.63141303004092,4.63141303004092,8.21176266654236,7.66391305604247,4.63141303004092,7.81683165191482,6.81801138896422,4.63141303004092,6.45264374258217,7.16656384071727,8.20400254127435,9.21579760362939,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.56585417556151,6.5658541755615,6.5658541755615,6.56585417556151
"hsa_miR_342_3p",10.3708368157463,11.036469685016,11.0368135758661,12.0559527095782,10.7254195113142,9.19631969276017,11.5535393806654,11.1026864210616,10.7414345124463,10.2454596071912,12.1819762414975,11.1941744965697,11.8615551114245,12.2882740676713,10.7002735450198,10.3000722091344,11.8704868238864,10.2052308238794,10.5153628032441,10.7849090560513,11.3590865302038,11.3349152902741,10.9262255228629,10.8177671816934,11.3097338403485,11.9846718734172,10.6698160742624,10.0988387517847,11.3551841928656,12.6044458171895,11.7017131435561,11.9284974200533,10.5612255520577,10.2477554911666,10.7423131567439,11.3747909720876,11.025290090122,10.230052809928,10.9441402232344,10.619683927928,10.3095146720142,12.2391328648088,10.8441683558115,10.5508047085032,9.7850737688775,10.7089787268765,11.922848292587,11.9941097848143,11.4046087502356,11.0283475369318,12.1923152629925,11.4416824980992,10.9960383775784
"hsa_miR_3615",6.98296468987892,7.48734669571535,7.54021922684677,4.39422166715432,7.40212140958336,7.26945324915664,8.1511985188699,7.33570998038965,6.92225165214779,7.24469406084411,7.50316079495761,7.73874191043195,7.70004058446188,7.88753177224263,8.20332563878158,8.96328053847869,7.95465297763864,7.94270076913647,4.39422166715432,7.40952746273561,4.39422166715432,4.39422166715432,7.74032717521597,7.50521859059153,7.22378507689783,7.80729428516161,6.70462172414484,7.31270417646057,7.41255739871596,8.54448708310927,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322,7.16263957121322
"hsa_miR_378a_3p",7.79004658562323,3.98320071172249,7.57451873094571,3.98320071172249,8.00494347241053,6.39591908890468,6.82790505699621,7.43172178042124,8.11606777967238,7.36878176147111,7.28001531148924,7.66687167388817,7.54914198668483,7.74709668626333,8.62362121443024,9.27692551617226,8.02751023857258,7.91926440120237,8.68156606670443,8.13917683243387,9.07775988705387,7.32489436595224,8.12384696402862,7.72673218976824,8.0418096569077,8.13636923488996,6.5000337517772,7.69990242546508,7.85090340206439,8.3946972654751,6.939572115687,6.939572115687,6.939572115687,6.939572115687,6.939572115687,10.0357511565133,6.939572115687,9.3766244177598,10.2151192126871,9.42007668229464,9.83465761821864,6.939572115687,6.939572115687,6.939572115687,6.939572115687,6.939572115687,6.939572115687,6.939572115687,6.939572115687,6.939572115687,6.939572115687,6.939572115687,6.939572115687
"hsa_miR_423_3p",7.46160275695184,8.21112944630117,7.69504784118266,8.33615000007892,8.20126685306587,6.84959487525228,7.72592685125964,7.62024227611246,7.77916037967992,7.55014050383942,8.05504650169945,8.50206876568026,8.14543564121285,8.76638681462267,8.70634993947422,7.6820937389649,7.5942656088532,7.62961318178844,7.525738222471,7.6976344818934,8.62124151244565,7.09565376168308,4.07440037601572,4.07440037601572,7.21555975848024,8.12872553557668,7.22462614145613,7.67338724936536,8.37335903799884,8.89805511042227,7.07885203676954,7.07885203676954,7.07885203676954,7.07885203676954,7.07885203676954,7.07885203676954,7.07885203676954,7.07885203676954,9.02223213278082,9.42903085451477,10.1508192571889,9.31135394746916,7.07885203676954,7.07885203676954,7.07885203676954,7.07885203676954,7.07885203676954,7.07885203676954,7.07885203676954,9.78192200106641,7.07885203676953,7.07885203676953,7.07885203676954
