"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-piR-6288",2,0,0,5,2,5,2,4,1,1,2,0,0,2,0,1,3,2,1,1,5,1,3,7,2,1,0,4,11,5,6,0,8,0,2,4,2,2,4,36,7,0,2,0,3,0,9,8,2,4,7,20,5,38,10,14,12,28,21,21,8,19,11,8,25,7,11
"hsa-piR-6693",1,0,1,1,1,3,1,1,0,2,1,3,0,2,0,1,1,0,0,0,0,2,0,4,1,0,4,3,3,4,7,0,1,1,2,1,3,2,2,5,1,3,0,0,3,0,1,4,1,3,3,9,1,1,0,0,0,1,0,1,0,2,1,0,1,2,2
"hsa-piR-6960",4,4,1,1,1,4,5,5,3,3,2,2,2,5,5,4,4,1,6,0,3,3,6,10,2,1,5,8,6,3,7,0,24,2,1,3,6,3,3,10,4,4,4,7,5,1,5,4,6,9,6,21,1,7,13,7,17,9,9,7,5,3,0,12,7,8,8
"hsa-piR-7006",1,2,0,10,6,6,4,8,2,2,3,1,2,9,5,2,5,1,2,1,4,4,6,11,6,2,7,16,14,20,9,1,10,2,1,11,20,2,8,36,7,5,6,1,9,0,4,15,3,19,24,37,0,4,2,2,1,3,4,1,2,1,1,6,11,0,0
"hsa-piR-866",2,0,2,1,2,1,3,2,3,3,0,3,2,4,0,1,2,2,1,0,2,2,4,2,1,3,2,2,8,2,4,2,4,1,1,3,8,4,5,2,2,9,5,3,5,0,3,4,2,7,5,15,6,9,3,4,8,11,10,10,8,11,10,10,14,7,10
"hsa-piR-9605",0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,4,0,1,1,3,1,0,4,1,2,3,1,5,2,0,4
"hsa-piR-12264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"hsa-piR-12654",4,4,1,6,3,6,4,5,5,2,4,3,3,3,1,13,3,3,4,0,5,3,5,4,13,10,3,4,16,4,9,0,11,6,0,0,6,0,4,51,5,5,10,3,8,2,0,13,5,11,8,20,1,0,0,0,0,3,0,1,0,0,1,0,3,1,0
"hsa-piR-15400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-piR-17220",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0
"hsa-piR-20101",4,1,6,0,4,1,2,6,6,3,2,2,2,2,4,1,2,1,2,4,6,4,3,2,3,3,8,2,4,6,1,0,26,12,0,0,2,1,4,4,4,0,2,9,7,0,1,2,2,5,3,4,14,5,4,3,5,2,23,9,4,2,3,1,1,7,13
"hsa-piR-22235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
