"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"RECQL","P46063",15655,30,380.269011333673,1.59153754936772,0.0103369770766443,9,0,4107,4102,3804,3642,0
"WTAP","Q15007",15650,29,334.318712982824,-1.39510455887646,0.00813998677381407,11,0,4089,4085,3656,3820,0
"SLC8A2","Q9UPR5",15649.5,29,249.080023548817,-0.77273990447196,0.0164957482543979,13,0,4006,3730,3980,3933.5,0
"PPP1R1B","Q9UD71",15645,26,258.177014662553,-0.741914511932353,0.0128720378217127,16,0,4025,3680,3908,4032,0
"TBC1D13","Q9NVG8",15637,17,192.728989639295,-0.889843498851686,0.0224666471203973,12,0,3865,3856,4032,3884,0
"CEP97","Q8IW35",15635.5,28,233.991903141838,0.929570876829557,0.0111829549230551,13,0,3970,3888,3844,3933.5,0
"C4BPA","P04003",15630,28,254.308019692393,0.851499500289312,0.0161296149509644,11,0,4019,3821,3970,3820,0
"PAF1","Q8N7H5",15628.5,21,211.238979695693,1.26062687392094,0.00879531516742581,13,0,3922,4056,3717,3933.5,0
"ELP1","O95163",15622.5,13,171.722706834165,0.922923395912598,0.0175045716963871,14,0,3773,3881,3994,3974.5,0
"SLC25A11","Q02978",15619.5,18,196.014669221244,0.743746497987511,0.0250398217134565,15,0,3877,3683,4052,4007.5,0
"PSMD7","P51665",15613.5,27,253.280676534301,0.837661319954183,0.00910084133449878,17,0,4018,3804,3742,4049.5,0
"GNPAT","O15228",15611,13,172.693181593997,-0.972306237787202,0.0225575561240333,12,0,3775,3919,4033,3884,0
"AHSG","P02765",15597.5,21,222.194038447905,-0.714339069266257,0.0139974607823888,20,0,3947,3631,3931,4088.5,0
"WDR70","Q9NW82",15597.5,12,167.494433164287,1.03754368277519,0.0148095637263331,13,0,3760,3959,3945,3933.5,0
"PLEKHO2","Q8TD55",15589,20,210.683277674899,-0.978101950147591,0.01159308503375,12,0,3921,3922,3862,3884,0
"IGHG2","P01859",15578,27,250.801071001516,1.10453294887474,0.014076316980079,9,0,4012,3992,3932,3642,0
"TXNDC5","Q8NBS9",15577,28,269.809485077112,0.857279691546896,0.0108133775802346,12,0,4039,3827,3827,3884,0
"VPS26C","O14972",15575,23,240.508839650451,-1.62081658574202,0.00820557806220143,11,0,3987,4103,3665,3820,0
"SNAPIN","O95295",15551.5,18,205.264337171468,1.23972991370298,0.0112717515408385,10,0,3906,4054,3849,3742.5,0
"BNIP3L","O60238",15540,20,219.119180279591,-1.27498012314491,0.00881654178668582,11,0,3940,4062,3718,3820,0
"LANCL2","Q9NS86",15534.5,24,240.851202292538,-0.740547148731227,0.0142163977821666,13,0,3988,3677,3936,3933.5,0
"CLSTN3","Q9BQT9",15523.5,17,198.183454178151,1.44497928972573,0.0103082771419863,10,0,3888,4090,3803,3742.5,0
"RAB4B","P61018",15520,11,171.579226741236,1.10822945371843,0.014195812127286,11,0,3772,3993,3935,3820,0
"PRG4","Q92954",15517.5,15,186.380125307804,1.1748112404958,0.0126473706442424,10,0,3842,4028,3905,3742.5,0
"PRPF40A","O75400",15491,26,234.839246969859,0.709639466312916,0.0108513586199905,18,0,3973,3624,3829,4065,0
"ERO1A","Q96HE7",15490.5,21,219.471095856777,0.645677544422636,0.0250925664790159,15,0,3941,3489,4053,4007.5,0
"CLIP3","Q96DZ5",15490,20,223.380272420322,1.20734965239583,0.0174683390569636,8,0,3951,4044,3993,3502,0
"WIPI2","Q9Y4P8",15488.5,28,278.641140467542,1.09513101970616,0.00870000868677927,10,0,4051,3983,3712,3742.5,0
"CMBL","Q96DG6",15483,12,187.191752470177,0.83585802222623,0.0152935170049735,12,0,3846,3798,3955,3884,0
"MICAL1","Q8TDZ2",15452,22,219.764139929638,0.838878594954764,0.0120218144467253,11,0,3942,3806,3884,3820,0
"ADGRG1","Q9Y653",15450.5,12,167.124991470549,0.785377546053675,0.0213064679895667,13,0,3757,3740,4020,3933.5,0
"HELLS","Q9NRZ9",15446.5,13,185.513990402236,-1.01062127886568,0.0138393395566907,10,0,3836,3941,3927,3742.5,0
"ECM1","Q16610",15435,11,177.191220106354,-1.2765797836651,0.00918345102082624,11,0,3805,4063,3747,3820,0
"SUCLG2","Q96I99",15423,26,234.077000593921,0.779158348307564,0.0124187975780146,11,0,3971,3737,3895,3820,0
"EIF4G3","O43432",15419,15,179.764553102781,-0.676798866197055,0.0200562325037252,16,0,3815,3560,4012,4032,0
"MRPL11","Q9Y3B7",15419,21,224.076293216827,0.963384579584644,0.0129868484703627,9,0,3954,3913,3910,3642,0
"MDC1","Q14676",15413,28,292.073378804468,-1.32668663100856,0.00586494354632653,11,0,4062,4076,3455,3820,0
"SNX8","Q9Y5X2",15409.5,24,249.028989949985,-1.29440030443801,0.00724809925311473,10,0,4005,4067,3595,3742.5,0
"AGAP3","Q96P47",15408.5,13,177.932505314901,1.21708203999344,0.0105223947684209,10,0,3807,4048,3811,3742.5,0
"C5","P01031",15407.5,29,272.853951166939,0.631692948414204,0.0164904242630767,13,0,4041,3454,3979,3933.5,0
"RASAL1","O95294",15403,25,258.007421301519,-0.811404379691184,0.00889908503004202,12,0,4024,3769,3726,3884,0
"TUBB4A","P04350",15402,28,254.424097457435,0.651943928808287,0.0179191475865219,12,0,4020,3501,3997,3884,0
"ATP5F1B","P06576",15388,26,264.228236691514,-0.560490880908997,0.0216248922034552,18,0,4035,3266,4022,4065,0
"DHRS13","Q6UX07",15387,20,196.234176889348,-0.859681628296753,0.010157245390608,12,0,3879,3830,3794,3884,0
"PCOLCE","Q15113",15385.5,9,157.500299716165,1.53859984209119,0.0112925642399259,10,0,3694,4098,3851,3742.5,0
"RCN2","Q14257",15381.5,8,161.629579690723,-0.919636807273358,0.0114353028547782,13,0,3716,3878,3854,3933.5,0
"CISD1","Q9NZ45",15367,12,179.790890912066,-1.47456078575028,0.0105713775866451,9,0,3816,4095,3814,3642,0
"ATP2A2","P16615",15366,19,217.115580733143,-0.582660758446097,0.0260064981120867,16,0,3939,3338,4057,4032,0
"GMPPB","Q9Y5P6",15359,23,230.527370610353,0.848364266703337,0.0140910499928547,9,0,3965,3819,3933,3642,0
