"Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"hsa-piR-12390",284.5,7,137.968535449865,-0.403373264144933,0.0358868439217326,11,0,107,119,33,25.5,0
"hsa-piR-32852",274.5,3,114.487202778451,-0.385278660224047,0.0344457982889226,14,0,93,111,29,41.5,0
"hsa-piR-32899",266,4,124.113892265773,-0.409421325113953,0.0282086816939494,13,0,98,122,13,33,0
"hsa-miR-106b-3p",265,0,49.5765318933697,-0.114614241852774,0.0695556686046338,16,0,47,38,117,63,0
"hsa-miR-144-5p",265,0,31.9785934991172,0.0767183500184027,0.05861519898675,22,0,24,24,94,123,0
"hsa-miR-320b",263,0,40.6638810436094,0.159337209223845,0.0584613447527375,18,0,34,50,91,88,0
"hsa-piR-24541",261,1,112.133750405303,-0.354723775406636,0.0334641573460259,15,0,89,96,25,51,0
"hsa-miR-342-3p",255,5,133.049124493194,-0.343877280129451,0.0366889433370559,10,0,104,95,36,20,0
"hsa-miR-30a-3p",254,0,56.126882682232,-0.191872120957054,0.0439746722446393,17,0,59,63,56,76,0
"hsa-miR-484",251,0,42.0161953892346,0.0767051107051193,0.0782200588158299,16,0,36,23,129,63,0
"hsa-piR-32913",247.5,2,96.839453361086,-0.319682970350694,0.0370593907482097,14,0,81,88,37,41.5,0
"hsa-piR-5747",240.5,1,109.587696951262,-0.33407856974263,0.0318901140144599,14,0,87,90,22,41.5,0
"hsa-miR-196b-5p",240,0,49.686599191416,0.133064668717393,0.0553840749923032,16,0,49,43,85,63,0
"hsa-piR-23127",231,2,80.4801359696704,-0.261019026087305,0.0313419217214022,16,0,71,77,20,63,0
"hsa-piR-32158",230,0,40.855625490024,0.102071436290724,0.0593631463112743,16,0,35,36,96,63,0
"hsa-piR-33168",227,1,49.525503007937,-0.213412862542778,0.0422033520058067,16,0,46,67,51,63,0
"hsa-piR-23019",222,0,50.4671880530965,-0.164945162283734,0.0377646542114306,17,0,52,53,41,76,0
"hsa-piR-32845",219,1,92.1080565240558,-0.30627688545503,0.0362224984325318,10,0,78,87,34,20,0
"hsa-miR-3615",211,1,47.8328009525406,-0.0905760686518447,0.0425443620698467,18,0,42,29,52,88,0
"hsa-let-7c-5p",207,1,71.1930178458836,0.158786946547505,0.0377457599589745,15,0,67,49,40,51,0
"hsa-piR-1901",200.5,0,69.0408219280179,-0.182073463680668,0.0469291605505894,9,0,66,59,63,12.5,0
"hsa-miR-140-3p",196,2,42.756674435007,-0.0885676837571896,0.0494120142898924,16,0,38,26,69,63,0
"hsa-miR-629-5p",195.5,0,44.3280941529724,-0.11505725137462,0.0516203578031948,14,0,39,39,76,41.5,0
"hsa-miR-1-3p",172.5,0,34.0155055957388,0.198218846856524,0.0446506174463389,11,0,25,64,58,25.5,0
"hsa-piR-32956",167.5,1,49.4046138749683,0.160058381191891,0.0345401309159659,14,0,45,51,30,41.5,0
"hsa-piR-18682",166,0,30.3064393999416,-0.117621266380494,0.0432128356975473,15,0,20,40,55,51,0
"hsa-miR-454-3p",163,0,23.9892027897369,0.00224593144302307,0.0492038997748741,18,0,8,1,66,88,0
"hsa-miR-451a",162,0,35.6432515558088,-0.0973156047535206,0.0492252653985629,13,0,30,32,67,33,0
"hsa-piR-1044",158,0,60.452807060698,-0.157675036497546,0.0322156930791259,12,0,60,47,23,28,0
"hsa-piR-28265",155,0,47.9692913667693,-0.162481258509221,0.0245036718948453,15,0,43,52,9,51,0
"hsa-piR-28264",152,0,55.8437856655418,-0.178808518974922,0.0225984845611076,13,0,58,58,3,33,0
"hsa-miR-151a-5p",151,0,29.0144000281107,0.00371166707853436,0.0429809344236729,17,0,18,3,54,76,0
"hsa-piR-28004",149.5,0,50.0724387315681,-0.130059169689962,0.0294673905162337,14,0,50,42,16,41.5,0
"hsa-piR-32977",147,0,49.6396210403105,-0.205757365228107,0.0288951110050462,10,0,48,65,14,20,0
"hsa-miR-382-5p",145,0,29.6953494041784,0.0352531529550582,0.0466500742380982,15,0,19,13,62,51,0
"hsa-miR-483-5p",145,0,25.6114531792897,-0.00888470069678983,0.0512516429178899,15,0,13,6,75,51,0
"hsa-miR-100-5p",144,0,21.8543727874447,0.0363145917812179,0.0462567008345103,16,0,6,14,61,63,0
"hsa-piR-33182",142,0,34.4062315895263,0.098396632488219,0.0356822928099595,15,0,26,33,32,51,0
"hsa-piR-14992",138.5,0,35.0891114078049,-0.107738465891457,0.04064897673,11,0,28,37,48,25.5,0
"hsa-piR-28276",137,0,53.5072112956793,-0.174139259894273,0.0243093793850231,10,0,54,55,8,20,0
"hsa-let-7d-5p",125.5,0,21.0985869387567,0.0233065362892627,0.0500253105488483,14,0,5,9,70,41.5,0
"hsa-piR-28277",125.5,0,55.5051903110329,-0.1859334349916,0.0204076052695774,8,0,57,61,1,6.5,0
"hsa-piR-414",125,0,31.3159933808534,-0.0842063603975847,0.0390125525505857,13,0,23,25,44,33,0
"hsa-miR-532-5p",120,0,23.3337920054644,-0.0420880947900163,0.0480513682617943,13,0,7,15,65,33,0
"hsa-piR-1014",115.5,0,48.6911353650633,-0.158654536554729,0.0260222827003378,9,0,44,48,11,12.5,0
"hsa-piR-32914",114.5,0,45.3150428467985,-0.148229897095061,0.0302237878280515,9,0,40,44,18,12.5,0
"hsa-miR-660-5p",106.5,1,35.1719223281839,-0.0889277891299091,0.0372576209109364,9,0,29,27,38,12.5,0
"hsa-piR-27484",106,0,30.4554813512903,-0.0900205835076246,0.0324353474816607,13,0,21,28,24,33,0
"hsa-piR-28278",105,0,50.1963896578537,-0.155361636757601,0.0230545011899933,7,0,51,46,5,3,0
"hsa-piR-28275",96.5,0,47.0774299478236,-0.154045735896324,0.0230515118171564,8,0,41,45,4,6.5,0
"hsa-miR-122-5p",96,0,25.597904668895,0.00524116048707709,0.0453781055588705,10,0,12,5,59,20,0
"hsa-piR-27306",96,0,26.5450696489222,0.0251848572175054,0.0363806153968651,13,0,16,12,35,33,0
"hsa-piR-5748",90,0,24.4361863290033,0.0475894487850936,0.0386168940956601,10,0,10,17,43,20,0
"hsa-piR-23020",88,0,26.1621146220145,0.0237250147346599,0.0349662693071025,13,0,14,10,31,33,0
"hsa-miR-144-3p",62.5,0,24.1228834696483,-0.0159466210648872,0.0374473416194144,8,0,9,8,39,6.5,0
"hsa-piR-28258",58.5,0,30.9558572329446,-0.0115992350521526,0.0297988717679345,9,0,22,7,17,12.5,0
"hsa-piR-28533",54,0,34.5478844393931,-0.0725592534816541,0.0225531775235774,7,0,27,22,2,3,0
"hsa-piR-27488",50,0,20.6452070316123,-0.0542196127580819,0.0242775909924568,10,0,4,19,7,20,0
"hsa-miR-93-5p",49.5,0,26.268817862021,-0.0436712705298098,0.0265382974937711,8,0,15,16,12,6.5,0
"hsa-piR-32905",48.5,0,24.4951895200749,-0.00476436483165728,0.0316557426301402,9,0,11,4,21,12.5,0
"hsa-piR-23358",46,0,28.4200386976874,0.0541011226990179,0.0250314050930602,6,0,17,18,10,1,0
"hsa-piR-33033",44.5,0,18.7068966668175,0.00277966429217302,0.034106366543612,9,0,2,2,28,12.5,0
"hsa-miR-98-5p",39.5,0,17.3438894655826,0.0242922692781105,0.0289436976046006,9,0,1,11,15,12.5,0
"hsa-miR-574-5p",32,0,19.571551650525,-0.0563023245402965,0.0241108626190681,7,0,3,20,6,3,0
