"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","source1","source2","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"OGA","O60502",15731,28,304.660841619325,1.44313113381192,0.0148518091337137,10,0,NA,NA,4066,4086,3922,3657,0
"EMC2","Q15006",15729.5,25,239.467376189099,-1.01169679168139,0.0119977423896296,15,0,NA,NA,3974,3949,3833,3973.5,0
"OGN","P20774",15727.5,11,186.004085784249,-1.04286679185379,0.023809393666057,14,0,NA,NA,3784,3966,4040,3937.5,0
"CACYBP","Q9HB71",15723.5,22,239.290857065711,0.987441795983596,0.0135439314776991,14,0,NA,NA,3973,3931,3882,3937.5,0
"CALD1","Q05682",15722.5,29,324.216805613845,0.78974911943076,0.0225174551678618,13,0,NA,NA,4080,3727,4027,3888.5,0
"IRF2BPL","Q9H1B7",15713.5,12,164.850594212981,-1.53102137566514,0.0159998783993602,17,0,NA,NA,3641,4102,3947,4023.5,0
"BTD","P43251",15705,27,251.019637382669,-1.1405792957279,0.0126817969779899,12,0,NA,NA,4002,4015,3861,3827,0
"PCOLCE","Q15113",15688.5,19,206.20810787126,1.75716665206791,0.00889233776590363,17,0,NA,NA,3871,4113,3681,4023.5,0
"MCM3","P25205",15685.5,21,208.987909069626,-0.766382190598621,0.0403911829931712,17,0,NA,NA,3890,3680,4092,4023.5,0
"CIAPIN1","Q6FI81",15681.5,25,217.963351993873,0.875157047426478,0.016652668543031,15,0,NA,NA,3916,3834,3958,3973.5,0
"MCCC2","Q9HCC0",15680,28,304.130916691618,-0.840215258708623,0.0190650102506689,12,0,NA,NA,4065,3790,3998,3827,0
"EML1","O00423",15678.5,29,315.605343515082,0.925725027541385,0.0109983317839441,14,0,NA,NA,4075,3877,3789,3937.5,0
"MOBP","Q13875",15677.5,24,233.481852096424,1.21491212770253,0.00871689039781435,16,0,NA,NA,3961,4044,3674,3998.5,0
"FAH","P16930",15671.5,19,201.002531293425,-0.770199027215839,0.0274894172864853,20,0,NA,NA,3852,3688,4055,4076.5,0
"CAPZA2","P47755",15669.5,21,213.536596017608,0.738417650836809,0.0322432816806755,18,0,NA,NA,3905,3643,4072,4049.5,0
"SLC1A2","P43004",15668.5,30,314.348868946782,-0.725875709042667,0.0162493978806963,17,0,NA,NA,4072,3619,3954,4023.5,0
"NAA30","Q147X3",15666.5,26,256.551312331967,-1.53170690401508,0.00861813071844839,13,0,NA,NA,4007,4103,3668,3888.5,0
"GCDH","Q92947",15626.5,18,216.617290896767,0.925097693173284,0.0128631347541093,15,0,NA,NA,3914,3875,3864,3973.5,0
"GTF2I","P78347",15625.5,9,158.391350839131,0.993360331860067,0.0293256130791316,17,0,NA,NA,3602,3936,4064,4023.5,0
"MRPS5","P82675",15623.5,15,175.49802686955,1.06353439420974,0.0235415817359114,13,0,NA,NA,3722,3976,4037,3888.5,0
"ANAPC1","Q9H1A4",15620.5,9,183.433467864986,0.786356929568809,0.0332978991817078,18,0,NA,NA,3770,3722,4079,4049.5,0
"CTPS1","P17812",15610.5,20,207.408091682028,0.857737786383405,0.0158913466552534,15,0,NA,NA,3876,3817,3944,3973.5,0
"PISD","Q9UG56",15605.5,28,303.983683962843,1.45975513536265,0.0158698032856147,9,0,NA,NA,4064,4090,3943,3508.5,0
"BCAS3","Q9H6U6",15583.5,26,246.77498685767,0.966654630771556,0.0109064225879177,13,0,NA,NA,3996,3914,3785,3888.5,0
"ATP2C1","P98194",15575,24,240.343747614236,-1.35836788585763,0.00908708429224705,12,0,NA,NA,3977,4073,3698,3827,0
"KYAT3","Q6YP21",15571.5,20,202.303502200509,0.814463739717363,0.0207743926298379,14,0,NA,NA,3858,3759,4017,3937.5,0
"LMBRD2","Q68DH5",15570.5,9,157.278945926872,0.860548598490608,0.033303140401054,20,0,NA,NA,3595,3819,4080,4076.5,0
"RPS15A","P62244",15562.5,25,229.619924466293,0.700920513851051,0.0245887899312488,16,0,NA,NA,3950,3573,4041,3998.5,0
"ACTR1B","P42025",15557.5,8,153.447378410935,-1.25943051617628,0.0256529070887343,13,0,NA,NA,3566,4056,4047,3888.5,0
"EPB41L5","Q9HCM4",15552,15,186.140056991078,-1.44194191159917,0.0149004553044755,11,0,NA,NA,3788,4084,3924,3756,0
"IDH3B","O43837",15546,17,211.101009658355,0.975529580818158,0.0141955891739168,12,0,NA,NA,3900,3918,3901,3827,0
"DDX3X","O00571",15536.5,23,208.960105449475,-0.788352059270623,0.0161573250227802,15,0,NA,NA,3888,3723,3952,3973.5,0
"MRAS","O14807",15534.5,19,195.702822595029,0.768167643641715,0.0168305730206307,18,0,NA,NA,3832,3685,3968,4049.5,0
"DTYMK","P23919",15533.5,26,242.993781183778,0.721980925166929,0.0168123347666624,15,0,NA,NA,3984,3610,3966,3973.5,0
"HPR","P00739",15527.5,30,302.386450790852,1.4186920465019,0.0132933292638724,9,0,NA,NA,4062,4080,3877,3508.5,0
"PACSIN3","Q9UKS6",15524.5,26,235.963318423961,-0.842372138612184,0.0102758480573784,16,0,NA,NA,3965,3793,3768,3998.5,0
"DGAT1","O75907",15521,24,241.368022630432,-1.12704593471264,0.0131880356325504,10,0,NA,NA,3980,4009,3875,3657,0
"AK5","Q9Y6K8",15515.5,29,288.054136023323,-0.672612880629474,0.0167653888445734,16,0,NA,NA,4050,3504,3963,3998.5,0
"ELP2","Q6IA86",15514,17,206.65286862476,0.963481247959753,0.0142931694858916,12,0,NA,NA,3872,3912,3903,3827,0
"OLFM1","Q99784",15505.5,14,173.925603689823,0.797482595262884,0.0200447838495513,18,0,NA,NA,3710,3741,4005,4049.5,0
"AP1M1","Q9BXS5",15492.5,26,247.972417105521,-0.855870442513236,0.0110800457327166,13,0,NA,NA,3999,3813,3792,3888.5,0
"SLC12A9","Q9BXP2",15486,26,246.363803336449,-1.46440737573836,0.00743816735443314,12,0,NA,NA,3994,4092,3573,3827,0
"SERPING1","P05155",15477.5,29,286.624758993757,0.888821420396822,0.00916409219496015,13,0,NA,NA,4047,3841,3701,3888.5,0
"LIN7C","Q9NUP9",15467.5,30,355.251001098144,-1.6114983410188,0.0101281104334343,9,0,NA,NA,4095,4107,3757,3508.5,0
"PDE12","Q6L8Q7",15467,24,221.039691786052,-0.793991339136662,0.0181201930217247,12,0,NA,NA,3923,3734,3983,3827,0
"EEF1E1","O43324",15465.5,25,241.170669478026,1.5240728460906,0.0133996978247012,9,0,NA,NA,3979,4100,3878,3508.5,0
"ISYNA1","Q9NPH2",15458,20,210.55757344448,0.996398105532343,0.0128695174666811,11,0,NA,NA,3898,3939,3865,3756,0
"TARS1","P26639",15455,30,359.309611685094,1.11874105479178,0.00908548933737232,10,0,NA,NA,4099,4003,3696,3657,0
"KRT5","P13647",15451,30,346.271843068087,0.712935224335926,0.0153709708198287,12,0,NA,NA,4092,3596,3936,3827,0
"GEMIN5","Q8TEQ6",15447.5,28,275.654472272738,-0.660368751662699,0.0166638976498143,15,0,NA,NA,4038,3477,3959,3973.5,0
