"Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"hsa-piR-32158",449,0,68.874867651822,-0.197142063592582,0.0616711396481222,22,0,100,88,134,127,0
"hsa-miR-182-5p",447,5,125.037360092604,-0.308605917372264,0.039957125180266,17,0,144,130,90,83,0
"hsa-piR-23019",443,0,30.8249146550862,-0.118889906241013,0.109563295772909,27,0,44,53,171,175,0
"hsa-miR-629-5p",434.5,2,72.0959452433969,0.189066839008481,0.0633590700461078,20,0,104,85,136,109.5,0
"hsa-piR-24553",434,2,91.9064673061083,0.27666190902006,0.0404374039346811,18,0,125,122,92,95,0
"hsa-miR-19b-3p",430,8,154.762496169451,0.410345168009723,0.0388383185485982,12,0,157,162,85,26,0
"hsa-miR-185-5p",429.5,1,104.002846083932,0.259331783736984,0.0359947199352312,19,0,133,118,75,103.5,0
"hsa-piR-1044",429,0,52.8041945278647,-0.150203546568991,0.0819919684206917,22,0,79,63,160,127,0
"hsa-miR-363-3p",427.5,1,93.7144145867822,0.241341089325474,0.0534656083136206,16,0,126,110,121,70.5,0
"hsa-piR-28340",427.5,0,36.6058222847371,0.114354245982817,0.0919788647907063,25,0,56,49,164,158.5,0
"hsa-miR-25-3p",425,0,77.8857107592368,-0.140401710286486,0.0602993263725695,22,0,109,59,130,127,0
"hsa-piR-24828",419.5,1,74.9625836432968,0.329162120336409,0.0352280925989834,19,0,107,137,72,103.5,0
"hsa-piR-32956",418.5,0,64.283200844168,-0.224419529516294,0.0465742006533921,20,0,95,102,112,109.5,0
"hsa-miR-16-5p",412,0,82.5928775683258,-0.149457277077423,0.045804942749204,22,0,114,62,109,127,0
"hsa-piR-28269",411.5,2,106.625162324637,0.365118044524687,0.0379051827071932,14,0,135,151,81,44.5,0
"hsa-piR-33074",410.5,0,58.9564430497904,-0.208051559559306,0.0547111153303389,20,0,87,91,123,109.5,0
"hsa-miR-101-3p",409.5,1,85.9619014060228,0.170877116936349,0.0432863925063103,20,0,119,78,103,109.5,0
"hsa-miR-4508",407.5,0,91.3839368151513,0.37967051235351,0.0319979956805833,16,0,123,155,59,70.5,0
"hsa-piR-28268",397.5,0,78.9731473395681,0.260691437878289,0.0333453324317523,19,0,110,119,65,103.5,0
"hsa-miR-335-5p",394.5,0,59.0079895921303,0.25764546781416,0.0513132350004463,16,0,88,117,119,70.5,0
"hsa-piR-33033",390,1,103.688490270858,-0.330813654756642,0.0274033728645384,17,0,132,138,37,83,0
"hsa-piR-33025",389,0,66.2606806318851,0.248813497055189,0.0380037091671982,18,0,98,114,82,95,0
"hsa-miR-10a-5p",385.5,0,44.2404956338784,-0.165705296474625,0.0397287048146171,24,0,68,77,89,151.5,0
"hsa-miR-1307-3p",384,0,64.5200316896464,0.256132124886421,0.0313957611895075,21,0,96,116,56,116,0
"hsa-miR-148b-3p",374.5,0,84.7981404643096,0.222129745610784,0.0390069655659688,16,0,116,100,88,70.5,0
"hsa-miR-423-3p",373,5,87.6164245526375,0.236358313021057,0.0323199314990716,17,0,121,108,61,83,0
"hsa-piR-32905",362,0,26.3685961216491,-0.0460249595176161,0.0640826032006509,26,0,33,25,138,166,0
"hsa-let-7g-5p",357,0,58.8099392749105,0.101127929611324,0.0460631681427252,21,0,86,44,111,116,0
"hsa-piR-29235",357,2,85.1850056903921,0.313809886067418,0.0298234343996375,15,0,117,132,51,57,0
"hsa-miR-99a-5p",354.5,1,80.1771298233257,-0.338308497533139,0.0314857591853783,14,0,112,141,57,44.5,0
"hsa-miR-140-3p",353,0,75.8642854360875,-0.249267336561457,0.0356943786840315,15,0,108,115,73,57,0
"hsa-miR-361-3p",348,1,47.7247892023868,0.12655900037439,0.0555310445030986,18,0,72,56,125,95,0
"hsa-miR-454-3p",344.5,0,68.9125969922946,0.191457475530614,0.0388583821155845,16,0,101,86,87,70.5,0
"hsa-miR-532-5p",336,1,58.2260679784557,0.135686820175578,0.04168123923802,18,0,85,58,98,95,0
"hsa-miR-125a-5p",334,0,49.0092921181554,-0.194786363352221,0.0368936737386575,18,0,74,87,78,95,0
"hsa-miR-146a-5p",330,0,56.4765396804616,0.23583338751191,0.0388094005163568,15,0,82,107,84,57,0
"hsa-miR-100-5p",328,0,53.446185508352,-0.24471324371398,0.0361815597426193,15,0,81,113,77,57,0
