"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"CTH","P32929",15634,10,157.177781325912,-0.8416189176096,0.0130670882895067,11,0,3911,3982,3912,3829,0
"GPLD1","P80108",15632,3,121.183338947269,0.826327065624507,0.0141253018552056,16,0,3664,3970,3948,4050,0
"APOA2","P02652",15628.5,23,223.015146040794,0.601573251910259,0.0127511731587239,14,0,4069,3666,3903,3990.5,0
"CAPN1","P07384",15622,16,211.230691984009,1.07451471400972,0.0122584721341335,9,0,4053,4073,3887,3609,0
"DECR1","Q16698",15619.5,11,171.545755925886,-0.820087738967365,0.0098324229112031,12,0,3967,3965,3784,3903.5,0
"SYMPK","Q92797",15619.5,3,132.692080659205,-0.798690075251441,0.0177349252937672,12,0,3757,3948,4011,3903.5,0
"PSMD11","O00231",15616,22,210.808822384989,0.818510210025894,0.00967709317263156,11,0,4050,3962,3775,3829,0
"DLST","P36957",15606.5,29,255.638261217632,-0.57523499909299,0.0176385486398326,12,0,4091,3602,4010,3903.5,0
"COPS5","Q92905",15605,21,211.062068565069,0.835871049088599,0.00919156342362393,11,0,4051,3976,3749,3829,0
"ATOX1","O00244",15600.5,9,162.967214902019,-0.852947090753139,0.00944787183238725,12,0,3940,3991,3766,3903.5,0
"PAPOLA","P51003",15592,8,147.293791895247,-0.591125207817221,0.0206161473941592,16,0,3857,3643,4042,4050,0
"DDX10","Q13206",15590.5,10,150.48433297997,-0.613825285074067,0.0197430329261118,14,0,3876,3690,4034,3990.5,0
"SIGLEC9","Q9Y336",15572.5,13,185.37481943195,-0.658665260765604,0.0107891374257817,13,0,4003,3785,3830,3954.5,0
"COG8","Q96MW5",15568.5,16,186.214929959648,-0.64022429701679,0.0115314383348412,13,0,4005,3744,3865,3954.5,0
"TP53BP1","Q12888",15562.5,4,143.034344512547,-0.802807621830268,0.00983634338416595,14,0,3833,3954,3785,3990.5,0
"MDC1","Q14676",15562.5,5,132.127087815978,0.733676293047956,0.0138713426652082,14,0,3752,3879,3941,3990.5,0
"SV2B","Q7L1I2",15557.5,10,165.357938235044,0.62206821341165,0.0171376497068182,12,0,3948,3704,4002,3903.5,0
"SAAL1","Q96ER3",15529.5,5,124.796980890573,-0.78145211297902,0.0170050370004865,12,0,3694,3934,3998,3903.5,0
"KCMF1","Q9P0J7",15522.5,7,141.319045013721,-1.00389100914793,0.0129489976860089,10,0,3824,4059,3908,3731.5,0
"CROCC","Q5TZA2",15519.5,11,168.149480587518,0.681726340229502,0.0178076846298091,10,0,3957,3818,4013,3731.5,0
"COX6A1","P12074",15502.5,17,187.320925184485,-0.810094896817245,0.0102289795555098,10,0,4008,3957,3806,3731.5,0
"GABRB3","P28472",15490,6,145.033644795896,1.43184452097807,0.00874772762321488,11,0,3845,4110,3706,3829,0
"CAVIN1","Q6NZI2",15480.5,21,212.472468528295,0.641748473642141,0.0141083813518846,10,0,4056,3746,3947,3731.5,0
"ATIC","P31939",15473.5,10,170.677042201118,0.528394033358396,0.0136302963133781,18,0,3963,3502,3930,4078.5,0
"ARHGEF2","Q92974",15463,8,137.896029590854,0.589774693990773,0.0167587061355389,15,0,3803,3641,3996,4023,0
"RIDA","P52758",15458,10,143.324775863759,-0.785041989427937,0.0114241314697341,11,0,3835,3937,3857,3829,0
"TRAPPC9","Q96Q05",15451.5,8,142.592686783741,0.66630975340069,0.0132380625803308,12,0,3832,3797,3919,3903.5,0
"CD59","P13987",15439.5,1,100.545062283723,-0.785812606267771,0.0265437210896595,14,0,3431,3940,4078,3990.5,0
"DNM3","Q9UQ16",15438,11,150.360579989856,0.688161068809892,0.0128995581073824,11,0,3875,3827,3907,3829,0
"MRPS36","P82909",15435.5,9,151.650461009915,-0.692429231458948,0.0103801119883291,12,0,3882,3836,3814,3903.5,0
"CIAO3","Q9H6Q4",15434,16,199.901820678513,0.840664809180685,0.00761857996145268,11,0,4031,3980,3594,3829,0
